SUJETO1,RELACION,SUJETO2
Sagrada,Primary Name,Sagrada
Sagrada,Designers,Adrian Adamescu
Sagrada,Designers,Daryl Andrews
Sagrada,Artist,Peter Wocken
Sagrada,Publishers,Floodgate Games
Sagrada,Publishers,Cranio Creations
Sagrada,Publishers,CrowD Games
Sagrada,Publishers,Devir
Sagrada,Publishers,Engames
Sagrada,Publishers,FoxGames
Sagrada,Publishers,Galápagos Jogos
Sagrada,Publishers,Geekach Games
Sagrada,Publishers,Lanlalen
Sagrada,Publishers,Lex Games
Sagrada,Publishers,Mandoo Games
Sagrada,Publishers,Matagot
Sagrada,Publishers,MEBO Games
Sagrada,Publishers,MINDOK
Sagrada,Publishers,MIPL
Sagrada,Publishers,One Moment Games
Sagrada,Publishers,Pegasus Spiele
Sagrada,Publishers,Reflexshop
Sagrada,Publishers,Yes Papa Games
Sagrada,Categories,Dice
Sagrada,Categories,Puzzle
Sagrada,Mechanisms,Contracts
Sagrada,Mechanisms,Dice Rolling
Sagrada,Mechanisms,End Game Bonuses
Sagrada,Mechanisms,Grid Coverage
Sagrada,Mechanisms,Open Drafting
Sagrada,Mechanisms,Pattern Building
Sagrada,Mechanisms,Set Collection
Sagrada,Mechanisms,Solo / Solitaire Game
Sagrada,Mechanisms,Turn Order: Progressive
Sagrada,Mechanisms,Variable Set-up
Sagrada,Family,Category: Dized Tutorial
Sagrada,Family,Cities: Barcelona (Spain)
Sagrada,Family,Components: Dice as Playing Units
Sagrada,Family,Crowdfunding: Kickstarter
Sagrada,Family,Digital Implementations: Google Play
Sagrada,Family,Digital Implementations: Steam
Sagrada,Family,Game: Sagrada
Sagrada,Family,Mechanism: Dice Drafting
Sagrada,Family,Misc: Watch It Played How To Videos
Sagrada,Family,Organizations: The Game Artisans of Canada
Sagrada,Family,Players: Games with Solitaire Rules
Sagrada,Family,Theme: Art
Sagrada,Family,Theme: Art style – Art Nouveau
Sagrada,Family,Theme: Stained glass
